 maxIter=30:
=================
>> clear
>> stackedAEExercise
 Iteration   FunEvals     Step Length    Function Val        Opt Cond
        37         42     1.00000e+00     2.00174e+01     3.20948e+02
        38         43     1.00000e+00     1.95394e+01     2.49723e+02
        39         44     1.00000e+00     1.92343e+01     2.03866e+02
        40         45     1.00000e+00     1.90827e+01     1.53611e+02
        41         46     1.00000e+00     1.90150e+01     1.34581e+02
        42         47     1.00000e+00     1.88643e+01     1.44928e+02
        43         48     1.00000e+00     1.86991e+01     1.70619e+02
        44         49     1.00000e+00     1.84821e+01     2.05087e+02
        45         50     1.00000e+00     1.82610e+01     1.73617e+02
        46         51     1.00000e+00     1.80004e+01     1.48474e+02
        47         52     1.00000e+00     1.77719e+01     1.74613e+02
        48         53     1.00000e+00     1.76146e+01     1.76786e+02
        49         54     1.00000e+00     1.74745e+01     1.33479e+02
        50         55     1.00000e+00     1.73310e+01     1.29204e+02
        51         56     1.00000e+00     1.72537e+01     1.23318e+02
        52         57     1.00000e+00     1.71600e+01     1.16951e+02
        53         58     1.00000e+00     1.69931e+01     1.36915e+02
        54         59     1.00000e+00     1.68783e+01     1.27581e+02
        55         60     1.00000e+00     1.67909e+01     1.05363e+02
        56         61     1.00000e+00     1.66407e+01     1.08132e+02
        57         62     1.00000e+00     1.65347e+01     1.21983e+02
        58         63     1.00000e+00     1.63968e+01     1.22843e+02
        59         64     1.00000e+00     1.62773e+01     1.30462e+02
        60         65     1.00000e+00     1.61722e+01     1.11646e+02
        61         66     1.00000e+00     1.60627e+01     1.11104e+02
        62         67     1.00000e+00     1.59215e+01     1.35153e+02
        63         68     1.00000e+00     1.58524e+01     1.39721e+02
        64         69     1.00000e+00     1.57768e+01     9.30291e+01
        65         70     1.00000e+00     1.57119e+01     8.18283e+01
        66         71     1.00000e+00     1.56603e+01     9.82368e+01
        67         72     1.00000e+00     1.55897e+01     1.19672e+02
        68         73     1.00000e+00     1.55142e+01     1.04610e+02
        69         74     1.00000e+00     1.54466e+01     8.35503e+01
        70         75     1.00000e+00     1.53830e+01     8.61665e+01
        71         76     1.00000e+00     1.53226e+01     9.51112e+01
        72         77     1.00000e+00     1.51919e+01     1.12043e+02
        73         78     1.00000e+00     1.51320e+01     1.39941e+02
        74         79     1.00000e+00     1.50514e+01     6.93059e+01
        75         80     1.00000e+00     1.50275e+01     5.52101e+01
        76         81     1.00000e+00     1.50067e+01     6.45187e+01
        77         82     1.00000e+00     1.49570e+01     8.41420e+01
        78         83     1.00000e+00     1.48793e+01     1.17195e+02
        79         84     1.00000e+00     1.47957e+01     1.06383e+02
        80         85     1.00000e+00     1.47314e+01     7.53320e+01
        81         86     1.00000e+00     1.46943e+01     5.71187e+01
        82         87     1.00000e+00     1.46732e+01     6.13967e+01
        83         88     1.00000e+00     1.46136e+01     8.26299e+01
        84         89     1.00000e+00     1.45642e+01     1.03815e+02
        85         90     1.00000e+00     1.45042e+01     7.52513e+01
        86         91     1.00000e+00     1.44560e+01     6.56560e+01
        87         92     1.00000e+00     1.44160e+01     8.50005e+01
        88         93     1.00000e+00     1.43741e+01     8.34975e+01
        89         94     1.00000e+00     1.43453e+01     1.03998e+02
